                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.5348,                0.98927,                 1.8091,                0.84282,                0.85833,                0.88724,                0.51438,                 1.5966,                 1.1151,                 2.0125,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.5191,                0.93971,                 1.7827,                0.84052,                   0.88,                0.89047,                 0.5177,                 1.5687,                 1.1229,                 1.9447,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.5976,                 1.0281,                  1.796,                0.86989,                   0.88,                0.90184,                0.44242,                 1.8447,                 1.1656,                 2.2653,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.5061,                 0.9841,                 1.7011,                0.95333,                0.81759,                0.90461,                0.53749,                  1.618,                 1.1123,                 1.9688,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.5178,                0.96587,                 1.7301,                0.88107,                   0.84,                0.89492,                0.44079,                 1.8532,                 1.2227,                 2.2397,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.5161,                0.92344,                  1.768,                0.77883,                   0.88,                0.90945,                0.51943,                 1.5886,                 1.1433,                 1.9499,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.5304,                 0.9465,                 1.7516,                  0.941,                   0.88,                0.95055,                0.55433,                 1.5174,                0.90833,                 1.9365,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.5664,                 1.0223,                 1.7955,                0.86613,                   0.76,                0.85049,                0.46325,                 1.6838,                 1.0932,                 2.0128,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.4906,                0.91602,                  1.709,                0.97705,                   0.84,                0.92729,                0.52614,                 1.5535,                0.95945,                 1.9118,              0.0017466,              0.0017466,              0.0017466
                     67,                  1.412,                 0.9142,                 1.6642,                0.90944,                   0.88,                0.92181,                0.52723,                 1.5523,                 0.9672,                 1.9041,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.4036,                0.90843,                 1.6372,                      1,                0.86886,                0.95056,                0.57018,                 1.4962,                0.84686,                 1.8838,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.4135,                0.86851,                 1.6919,                0.91418,                0.85256,                0.93463,                0.52224,                 1.6311,                0.92932,                 1.9659,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.3751,                0.87017,                 1.6315,                0.99033,                   0.88,                0.93423,                0.52619,                 1.5339,                 0.9607,                 1.8875,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.4357,                0.88015,                 1.6812,                0.91616,                0.87443,                0.92733,                0.55681,                 1.5425,                0.94302,                 1.9206,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.4799,                0.90916,                 1.6668,                0.95563,                   0.88,                0.92764,                0.53388,                 1.5874,                0.90474,                 1.9083,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.4471,                0.86597,                 1.6267,                0.85615,                   0.88,                0.91289,                0.53458,                 1.5805,                0.96602,                 1.9434,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.3856,                0.85063,                  1.654,                0.87954,                 0.8763,                0.91587,                0.53302,                 1.5766,                0.99401,                 1.9824,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.4407,                0.85428,                 1.6524,                0.55936,                   0.56,                0.59953,                  0.401,                 1.5466,                 1.5988,                 1.8822,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.4472,                0.90658,                 1.6726,                      1,                 0.7885,                0.92232,                0.49034,                 1.6912,                 1.2224,                 1.9514,               0.001707,               0.001707,               0.001707
                     77,                 1.4405,                0.89336,                 1.6521,                0.90935,                   0.88,                 0.9311,                0.55672,                 1.5853,                0.91931,                 1.8388,               0.001703,               0.001703,               0.001703
                     78,                 1.4422,                 0.8752,                 1.6551,                      1,                0.87638,                0.92992,                0.53104,                 1.7177,                0.90455,                 1.9602,               0.001699,               0.001699,               0.001699
                     79,                 1.4474,                0.87843,                  1.644,                0.99072,                   0.92,                0.94961,                0.49658,                 1.7511,                0.90826,                  2.028,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.4421,                0.84232,                 1.6381,                0.95652,                 0.8799,                0.93281,                0.53474,                 1.5818,                0.89754,                 1.9408,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.4474,                0.88955,                 1.6667,                      1,                0.87022,                0.96006,                0.53813,                 1.6604,                0.98424,                 1.9256,              0.0016872,              0.0016872,              0.0016872
                     82,                  1.439,                0.85891,                 1.6457,                0.87601,                   0.88,                0.91211,                0.54719,                 1.5223,                    1.2,                 1.8706,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.3798,                0.84352,                 1.6275,                0.95422,                0.83401,                 0.9109,                 0.5283,                 1.6587,                0.85156,                 1.9468,              0.0016792,              0.0016792,              0.0016792
                     84,                  1.458,                0.89134,                 1.6572,                 0.9147,                0.85828,                0.91144,                0.53801,                 1.5542,                 0.9273,                 1.8856,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.3502,                0.82602,                 1.5726,                0.86297,                   0.84,                0.89774,                0.51566,                 1.5733,                0.95108,                  1.895,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.4384,                0.88719,                 1.6381,                 0.7782,                0.84211,                0.89023,                0.53077,                 1.5952,                 1.0105,                 1.9362,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.3823,                0.89062,                 1.5866,                 0.8483,                   0.88,                0.86234,                0.51156,                 1.4531,                 1.0756,                 1.8372,              0.0016634,              0.0016634,              0.0016634
