                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    305,                 0.8628,                0.47283,                 1.1966,                      1,                0.95872,                0.99346,                0.61881,                  1.336,                0.55639,                 1.7112,             0.00080012,             0.00080012,             0.00080012
                    306,                0.89125,                0.48975,                 1.1782,                0.98792,                   0.92,                0.93625,                0.57959,                 1.2979,                0.70338,                 1.7031,             0.00079616,             0.00079616,             0.00079616
                    307,                0.91953,                0.51603,                 1.1979,                0.94491,                   0.92,                0.98063,                0.59433,                 1.2982,                0.60366,                 1.6848,              0.0007922,              0.0007922,              0.0007922
                    308,                0.84378,                0.46998,                 1.1572,                0.99642,                      1,                  0.995,                0.62741,                 1.3086,                 0.6054,                 1.6758,             0.00078824,             0.00078824,             0.00078824
                    309,                0.86855,                0.48048,                 1.2004,                0.95358,                      1,                0.99192,                0.61446,                  1.326,                0.54865,                 1.7059,             0.00078428,             0.00078428,             0.00078428
                    310,                0.87199,                0.48951,                 1.1977,                0.99569,                   0.92,                0.98911,                0.61003,                 1.2732,                0.54652,                 1.7236,             0.00078032,             0.00078032,             0.00078032
                    311,                0.84027,                0.47044,                  1.156,                 0.9961,                   0.92,                0.97301,                0.64353,                 1.2587,                0.58227,                 1.6466,             0.00077636,             0.00077636,             0.00077636
                    312,                  0.828,                0.48403,                 1.1633,                0.95614,                   0.96,                0.96393,                0.62889,                 1.3139,                 0.6434,                  1.617,              0.0007724,              0.0007724,              0.0007724
                    313,                0.81237,                0.46571,                  1.124,                0.99368,                   0.92,                 0.9613,                 0.6312,                  1.304,                0.62286,                 1.5822,             0.00076844,             0.00076844,             0.00076844
                    314,                0.85937,                0.48501,                 1.1749,                      1,                0.95045,                0.98726,                0.62331,                 1.3694,                0.56168,                 1.6782,             0.00076448,             0.00076448,             0.00076448
                    315,                0.87569,                0.49351,                 1.1941,                      1,                0.91949,                0.98764,                0.62717,                 1.3774,                0.55971,                 1.7435,             0.00076052,             0.00076052,             0.00076052
                    316,                0.86429,                 0.4881,                 1.1506,                0.99596,                   0.92,                0.98504,                0.62261,                 1.3202,                0.59529,                 1.7176,             0.00075656,             0.00075656,             0.00075656
                    317,                0.87944,                0.50939,                  1.182,                0.99306,                   0.92,                0.97493,                0.63682,                 1.3061,                0.59254,                 1.7141,              0.0007526,              0.0007526,              0.0007526
                    318,                0.86042,                0.47575,                 1.1651,                0.99255,                   0.92,                0.96367,                0.61655,                 1.2912,                0.60559,                  1.791,             0.00074864,             0.00074864,             0.00074864
                    319,                0.86404,                0.50458,                 1.1751,                0.98398,                   0.92,                0.95242,                0.62834,                 1.3346,                0.57199,                 1.7635,             0.00074468,             0.00074468,             0.00074468
                    320,                0.85661,                 0.4854,                 1.1771,                      1,                0.91936,                0.93895,                0.60566,                 1.2679,                0.56422,                 1.6853,             0.00074072,             0.00074072,             0.00074072
                    321,                0.82842,                0.47779,                 1.1847,                0.99505,                   0.92,                0.95338,                0.61744,                 1.2299,                0.63052,                 1.6142,             0.00073676,             0.00073676,             0.00073676
                    322,                0.84845,                0.48388,                 1.1655,                0.99306,                   0.92,                0.95198,                0.62006,                 1.2383,                 0.6552,                 1.6385,              0.0007328,              0.0007328,              0.0007328
                    323,                0.84708,                0.48456,                  1.183,                0.98814,                   0.92,                0.95835,                0.64209,                 1.3233,                0.58669,                  1.702,             0.00072884,             0.00072884,             0.00072884
